Id;AnswerId;Message_Cleaned
13;159;Как понять, что меня зачислили на курс на lms.bmstu.ru?
29;29;Как проходит обучение?
25;25;Недавний выпускник/аспирант МГТУ может проходить курс?
30;30;Несёт ли обучение на ЦК какие-то обязательства, помимо присутствия на занятиях и выполнения работ? Например, необходимость отработать какое-то время в какой-то организации.
18;18;Где посмотреть списки зачисленных?
121;162;Здравствуйте Подскажите, пожалуйста, появится ли возможность у аспирантов обучаться на цифровой кафедре?
12;12;Можно ли подать заявку на несколько программ на lms.bmstu.ru?
123;165;В личном кабинете иннополиса отсутствует моя программа, из-за чего не могу пройти ассесмент.
127;176;Как получить диплом?
17;17;Сайт lms.bmstu.ru не работает
27;27;Какие знания в программировании требуются для поступления?
22;22;Я - студент-иностранец. Могу ли я подать заявку на обучение?
26;26;Я не являюсь студентом МГТУ им. Н. Э. Баумана, могу ли я поступить на ЦК?
60;56;Завис сайт Иннополиса, что делать?
61;57;Куда обратиться по поводу технических проблем на платформе тестирования Иннополис?
14;157;Куда придёт оповещение после рассмотрения заявки на lms.bmstu.ru?
2;158;Обязательно ли должна быть бауманская почта на аккаунте lms.bmstu.ru?
58;55;Можно ли не проходить ассесмент Иннополиса?
122;164;Повторное
52;50;Есть ли входное тестирование?
51;108;Когда начнётся обучение?
47;45;"В каком направлении курса ""Web-разработчик"" затрагивается бэкенд?"
33;33;Входное тестирование на курс может повлиять на то, что меня не возьмут?
40;38;Если меня отчислят из МГТУ, но я прошёл часть/закончил программу ЦК?
34;34;Как понять, как и в каком формате можно будет приступить к прохождению курса?
32;32;Как проходит входное тестирование? Нужно ли к нему как-то готовиться?
38;37;Как проходят итоговые аттестации на разных программах?
46;44;Какие основные языки на Web-разработке?
42;40;Какой документ подтверждает моё обучение на курсе, мою квалификацию?
35;35;Можно ли будет стажировку ЦК зачесть в качестве обязательной производственной практики, на которую вуз направляет студентов после 3-го курса обучения?
31;31;Можно ли не проходить ассесмент (тестирование)?
41;39;Можно ли в случае неудачного обучения на выбранном курсе подать заявку во второй раз?
45;43;Насколько понятная/доступная/простая информация на программе «Web-разработчик» для новичка?
55;155;Когда будет следующий набор?
56;156;Обучение начнётся весной или в следующем учебном году?
36;36;Получится ли совмещать учебу на ЦК с учебой на военной кафедре?
37;36;Получится ли совместить написание дипломной работы по окончании обучения с прохождением военных сборов?
39;38;Что будет, если я не сдам итоговую аттестацию ЦК?
125;166;Где взять ссылку на ассесмент
124;166;Как пройти ассесмент?
74;70;Где найти чат службы поддержки Иннополиса?
73;69;Техподдержка Иннополиса
75;139;Если я не пройду итоговый ассесмент, что будет?
54;52;По какой причине меня могут отчислить с ЦК?
77;140;Не успел пройти в срок итоговый ассесмент, что мне делать?
67;141;Где ссылка на тестирование Иннополиса?
49;153;Планируется ли в будущем открыть программу iOS-разработки?
44;154;Расскажите подробнее, чему научат на программах DevOps-инженер, Digital-маркетолог, Руководитель продукта?
126;167;Тем, кто обучается во второй раз, необходимо проходить ассестменты?
62;58;Не дает подтвердить E-mail на сайте Иннополиса
65;61;"Ошибка на сайте Иннополиса: ""У вас нет доступа к сервису"""
66;62;Почему мне не дали доступ к ассесменту Иннополиса?
68;64;"Почему у меня на сайте Иннополиса висит статус ""Вы не прошли тестирование"", если я его прошёл/время тестирования закончилось?"
86;111;Где мне найти материалы курса?
88;84;Можно ли увеличить скорость воспроизведения? х1,5, х2?
89;85;Не грузится видеоматериал курса на платформе
87;112;Не открывается/не доступна лекция/видео на платформе
90;113;У меня сменилась фамилия. Что мне надо сделать, чтобы её поменяли на портале?
106;101;Тесты не соответствуют материалам лекции
100;96;"DevOps. ПО ""Базис"". Мне не приходит письмо с подтверждением регистрации на что мне делать?"
97;93;Вопросы по д/з (вне зависимости от курса)
72;142;Если я не сдам по результатам ассесмент Иннополиса, меня отчислят с ЦК?
81;77;Могу ли я отказаться от текущей программы и подать заявку на следующий год? (Я магистр последнего года обучения)
80;76;Могу ли я отказаться от текущей программы и подать заявку на следующий год? (Я студент выпускного курса (бакалавр/специалист)
64;143;Могу ли я пройти тестирование Иннополиса с мобильного устройства?
96;145;"Необходима справка, подтверждающая моё обучение на ""Цифровой Кафедре"""
82;146;Хочу отчислиться/отказаться от курса.
78;148;Я хочу поменять программу после зачисления
85;150;Не приходят письма/рассылка от ЦК
84;151;По ЛЮБЫМ техническим проблемам на платформе : где-то что-то не работает, не открывается, не грузится
99;95;Можно увидеть правильные ответы на вопросы тестов, когда попытки исчерпаны?
98;94;Хочу лично общаться с преподавателем/лектором/куратором, чтобы задавать вопросы напрямую, а не через общий чат
95;91;Есть ли какой-то определённый порог по успеваемости или это всегда по-разному?
103;99;Стажировка платная? После её прохождения можно перейти в штат компании?
93;107;Надолго ли лекции остаются в программе и возможно ли их пересматривать повторно?
94;90;Не успеваю сдать д/з по курсу, дедлайн поставили до сегодня. Могу прислать д/з позже?
48;46;"Как будет проходить итоговая аттестация на программе ""Web-разработчик"", если за период обучения мы пройдём несколько языков программирования?"
43;109;Когда я получу диплом об окончании курса ЦК?
102;98;Когда будет проходить стажировка? Её длительность?
104;35;Можно ли будет зачесть стажировку от ЦК в качестве обязательной производственной практики, на которую вуз направляет студентов после 3-го курса обучения?
105;100;Обязан ли я буду проходить стажировку, если уже и так работаю?
101;97;Обязательно ли проходить стажировку?
110;118;Добрый день Выиграл термо-кружку в розыгрыше, как можно получить приз?
113;125;Сколько дополнительных баллов дает справка с цк при поступлении в магистратуру МГТУ им. Баумана
114;175;Выпуск 2023
92;149;Есть ли расписание занятий? Планируется ли оповещение студентов о сроках, которые даются им на прохождение модуля? Есть ли сроки проведения всех мероприятий, связанных с обучением?
109;121;Когда будет происходить выдача дипломов за 2023-2024 учебный год
116;175;Где и когда я могу забрать диплом
112;135;Подскажите, я закончил(а) бакалавр и мне для поступлению в магистратуру нужен диплом цк, закончил(а) цк, но диплом бакалавра пока не выдали Как получить диплом ЦК? Даёт ли диплом ЦК дополнительные баллы для магистратуры?
117;136;Подскажите, пожалуйста, я могу поступить на цифровую кафедру, учась в другом вузе (бакалавриат)?
115;144;Может ли получить диплом выпускника 2024 года за меня другой человек?
91;152;Проблемы с работой платформы в мобильной версии: ничего не видно, не открывается личный кабинет
120;144;Я не могу забрать свой диплом
119;164;В прошлом году закончил ЦК, могу ли обучиться еще ?
118;164;Могу ли я обучиться повторно на цифровой кафедре?
